Logger:         	MadelineProto
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
MsgIdHandler64, 5057468842: 	Given message id (7055851601463550977) is bigger than or equal to the current limit (7055851601463543809). Please sync your date using NTP.
MsgIdHandler64, 5057468842: 	Given message id (7055851601865695233) is bigger than or equal to the current limit (7055851601865689089). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 10 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 10 outgoing messages, 0 left
UpdateHandler, 5057468842:  	Parsing updates (updates) received via the socket...
SeqLoop, 5057468842:        	Was fed updates of type updates...
FeedLoop, 5057468842:       	Resumed update feed loop generic
Session, 5057468842:        	Garbage collected 1 incoming messages, 0 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
MsgIdHandler64, 5057468842: 	Given message id (7055851730650141697) is bigger than or equal to the current limit (7055851730650115073). Please sync your date using NTP.
MsgIdHandler64, 5057468842: 	Given message id (7055851731035843585) is bigger than or equal to the current limit (7055851731035816961). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 10 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 9 outgoing messages, 0 left
MTProto, 5057468842:        	Accepted IPC client connection!
UpdateHandler, 5057468842:  	Parsing updates (updateShortSentMessage) received via the socket...
FeedLoop, 5057468842:       	Resumed update feed loop generic
UpdateHandler, 5057468842:  	Parsing updates (updates) received via the socket...
Session, 5057468842:        	Garbage collected 3 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 6 outgoing messages, 0 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
MsgIdHandler64, 5057468842: 	Given message id (7055851859857926145) is bigger than or equal to the current limit (7055851859857916929). Please sync your date using NTP.
MsgIdHandler64, 5057468842: 	Given message id (7055851860243531777) is bigger than or equal to the current limit (7055851860243524609). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 10 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 9 outgoing messages, 0 left
UpdateHandler, 5057468842:  	Parsing updates (updates) received via the socket...
SeqLoop, 5057468842:        	Was fed updates of type updates...
FeedLoop, 5057468842:       	Resumed update feed loop generic
Session, 5057468842:        	Garbage collected 1 incoming messages, 0 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
MsgIdHandler64, 5057468842: 	Given message id (7055851989067222017) is bigger than or equal to the current limit (7055851989067215873). Please sync your date using NTP.
MsgIdHandler64, 5057468842: 	Given message id (7055851989426151425) is bigger than or equal to the current limit (7055851989426144257). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 9 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 8 outgoing messages, 1 left
Session, 5057468842:        	Garbage collected 1 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 1 outgoing messages, 0 left
MTProto, 5057468842:        	Accepted IPC client connection!
Session, 5057468842:        	Garbage collected 2 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 5 outgoing messages, 1 left
UpdateHandler, 5057468842:  	Parsing updates (updateShortSentMessage) received via the socket...
FeedLoop, 5057468842:       	Resumed update feed loop generic
UpdateHandler, 5057468842:  	Parsing updates (updates) received via the socket...
Session, 5057468842:        	Garbage collected 2 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 3 outgoing messages, 0 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
APIWrapper, 5057468842:     	Saved session!
MsgIdHandler64, 5057468842: 	Given message id (7055852118280100865) is bigger than or equal to the current limit (7055852118280076289). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 5 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 5 outgoing messages, 2 left
MsgIdHandler64, 5057468842: 	Given message id (7055852118644055041) is bigger than or equal to the current limit (7055852118644047873). Please sync your date using NTP.
Session, 5057468842:        	Garbage collected 5 incoming messages, 0 left
Session, 5057468842:        	Garbage collected 4 outgoing messages, 0 left
UpdateHandler, 5057468842:  	Parsing updates (updates) received via the socket...
SeqLoop, 5057468842:        	Was fed updates of type updates...
FeedLoop, 5057468842:       	Resumed update feed loop generic
Session, 5057468842:        	Garbage collected 1 incoming messages, 0 left
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Got exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.safe.php.lock...
SessionPaths, 5057468842:   	Waiting for exclusive lock of /home/nicolas/LaravelProjects/Tgram2/public/session.madeline.lightState.php.lock...
